chr - mmx x 0 165556469 chrx
chr - mmy y 0 2729404 chry
chr - mm1 1 0 197069962 chr1
chr - mm2 2 0 181976762 chr2
chr - mm3 3 0 159872112 chr3
chr - mm4 4 0 155029701 chr4
chr - mm5 5 0 152003063 chr5
chr - mm6 6 0 149525685 chr6
chr - mm7 7 0 145134094 chr7
chr - mm8 8 0 132085098 chr8
chr - mm9 9 0 124000669 chr9
chr - mm10 10 0 129959148 chr10
chr - mm11 11 0 121798632 chr11
chr - mm12 12 0 120463159 chr12
chr - mm13 13 0 120614378 chr13
chr - mm14 14 0 123978870 chr14
chr - mm15 15 0 103492577 chr15
chr - mm16 16 0 98252459 chr16
chr - mm17 17 0 95177420 chr17
chr - mm18 18 0 90736837 chr18
chr - mm19 19 0 61321190 chr19
band mm1 qa1 qa1 0 8912711 gpos100
band mm1 qa2 qa2 8912711 12378766 gneg
band mm1 qa3 qa3 12378766 20301176 gpos33
band mm1 qa4 qa4 20301176 22281779 gneg
band mm1 qa5 qa5 22281779 31194491 gpos100
band mm1 qb qb 31194491 43573257 gneg
band mm1 qc1.1 qc1.1 43573257 54961723 gpos66
band mm1 qc1.2 qc1.2 54961723 56447175 gneg
band mm1 qc1.3 qc1.3 56447175 59913229 gpos75
band mm1 qc2 qc2 59913229 65855037 gneg
band mm1 qc3 qc3 65855037 75262900 gpos33
band mm1 qc4 qc4 75262900 80709557 gneg
band mm1 qc5 qc5 80709557 88136817 gpos33
band mm1 qd qd 88136817 100515583 gneg
band mm1 qe1.1 qe1.1 100515583 103486487 gpos33
band mm1 qe1.2 qe1.2 103486487 104476788 gneg
band mm1 qe2.1 qe2.1 104476788 113389500 gpos100
band mm1 qe2.2 qe2.2 113389500 114874952 gneg
band mm1 qe2.3 qe2.3 114874952 126758568 gpos100
band mm1 qe3 qe3 126758568 129729472 gneg
band mm1 qe4 qe4 129729472 140622786 gpos66
band mm1 qf qf 140622786 148545197 gneg
band mm1 qg1 qg1 148545197 153001553 gpos100
band mm1 qg2 qg2 153001553 153991854 gneg
band mm1 qg3 qg3 153991854 158448210 gpos100
band mm1 qh1 qh1 158448210 161419114 gneg
band mm1 qh2.1 qh2.1 161419114 165380319 gpos33
band mm1 qh2.2 qh2.2 165380319 166865771 gneg
band mm1 qh2.3 qh2.3 166865771 171322127 gpos33
band mm1 qh3 qh3 171322127 177263935 gneg
band mm1 qh4 qh4 177263935 183205743 gpos33
band mm1 qh5 qh5 183205743 189642702 gneg
band mm1 qh6 qh6 189642702 197069962 gpos33
band mm10 qa1 qa1 0 12750708 gpos100
band mm10 qa2 qa2 12750708 17654827 gneg
band mm10 qa3 qa3 17654827 23539770 gpos33
band mm10 qa4 qa4 23539770 33348007 gneg
band mm10 qb1 qb1 33348007 41194597 gpos100
band mm10 qb2 qb2 41194597 48060364 gneg
band mm10 qb3 qb3 48060364 55906954 gpos100
band mm10 qb4 qb4 55906954 63753544 gneg
band mm10 qb5.1 qb5.1 63753544 67676839 gpos100
band mm10 qb5.2 qb5.2 67676839 68167251 gneg
band mm10 qb5.3 qb5.3 68167251 74542605 gpos100
band mm10 qc1 qc1 74542605 88764550 gneg
band mm10 qc2 qc2 88764550 95630316 gpos33
band mm10 qc3 qc3 95630316 98572787 gneg
band mm10 qd1 qd1 98572787 111323496 gpos100
band mm10 qd2 qd2 111323496 124074205 gneg
band mm10 qd3 qd3 124074205 129959148 gpos33
band mm11 qa1 qa1 0 13016647 gpos100
band mm11 qa2 qa2 13016647 17200570 gneg
band mm11 qa3.1 qa3.1 17200570 21849372 gpos100
band mm11 qa3.2 qa3.2 21849372 25568415 gneg
band mm11 qa3.3 qa3.3 25568415 30217217 gpos100
band mm11 qa4 qa4 30217217 36260661 gneg
band mm11 qa5 qa5 36260661 43233865 gpos100
band mm11 qb1.1 qb1.1 43233865 47882668 gneg
band mm11 qb1.2 qb1.2 47882668 49742189 gpos33
band mm11 qb1.3 qb1.3 49742189 59969555 gneg
band mm11 qb2 qb2 59969555 62758837 gpos33
band mm11 qb3 qb3 62758837 70661801 gneg
band mm11 qb4 qb4 70661801 73915963 gpos33
band mm11 qb5 qb5 73915963 81818928 gneg
band mm11 qc qc 81818928 90186773 gpos100
band mm11 qd qd 90186773 102273660 gneg
band mm11 qe1 qe1 102273660 110176625 gpos66
band mm11 qe2 qe2 110176625 121798632 gneg
band mm12 qa1.1 qa1.1 0 17650279 gpos100
band mm12 qa1.2 qa1.2 17650279 21180335 gneg
