hs1	40626448	40706658	RLF
hs1	40713522	40787568	TMCO2
hs1	84750959	84816584	SAMD13
hs1	84829301	84884376	DNASE2B
hs11	65128217	65225248	CR607557
hs11	87835134	87908734	RAB38
hs11	88016221	88071489	CTSC
hs12	52880885	52887407	KRT6A
hs12	52905289	52915549	KRT5
hs12	53199081	53209724	KRT4
hs12	54356041	54402590	HOXC10
hs12	54402792	54449887	HOXC4
hs13	26697223	26796833	RNF6
hs13	28707387	29075248	PAN3
hs14	69861550	69896201	UNQ714
hs14	69902965	69953560	SLC39A9
hs17	39654604	39662248	KRT13
hs17	4013413	4114023	KIAA1255
hs17	40827050	40866065	KIAA0388
hs17	40869048	40923929	EZH1
hs17	4119260	4216718	ANKFY1
hs19	45577017	45587934	ZNF296
hs19	45591510	45611111	GEMIN7
hs20	33700260	33716292	EDEM2
hs20	33720023	33750701	C20orf31
hs20	42972116	43001376	NR2A1
hs20	43028533	43142007	HNF4A
hs22	36674055	36788367	MYH9
hs3	142015361	142297791	ATR
hs3	196270301	196473184	PIGX
hs3	196476753	196645106	PAK2
hs3	48931284	48997975	ARIH2
hs3	49002344	49019585	Ari2
hs4	154074060	154265693	TRIM2
hs4	154265710	154342531	MND1
hs5	180326026	180377954	BTNL8
hs5	180415850	180435741	BTNL3
hs6	100943470	101018272	ASCC3
hs6	101063328	101435945	DKFZp762E1710
hs6	53791587	53866546	AK056584
hs6	53883663	54131201	C6orf142
hs6	79576844	79790598	PHIP
hs7	106808812	107263823	DUS4L
hs7	135045925	135195986	CNOT4
hs7	33163954	33648006	BBS9
hs7	34387209	34938365	NPSR1
hs7	5928915	6105842	EIF2AK1
hs8	9862747	10297552	MSRA
hs9	130901987	130915804	LCN2
